VERSION,caseid,qs1,qs2ov1801,qs2ov1802,qs201,qs202,qs3,qs4,q1,q1FIX,q2,q2FIX,Q2VALUE,Q1Q2DIF,q1q2diffFIX,Q1Q2DIFHRS,q1q2diffhrsFIX,q3,Q3VALUE,q3FIX,q4,Q4VALUE,q4FIX,Q3Q4DIF,q3q4diffFIX,Q3Q4DIFHRS,q3q4diffhrsFIX,Q3Q4Q1Q2DIFHRS,Q3Q4Q1Q2POS,q5text,q5h,q5m,Q5,Q5HRS,q5dkrf,q6text,q6h,q6m,Q6,Q6HRS,q6dkrf,Q6Q5DIF,Q6Q5DIFHRS,Q6Q5POS,q7text,q7hour,q7min,q7mer,q7,Q7REV,Q1VALUE,Q1Q7DIF,Q1Q7DIFHRS,VAR00012,Q1TIME,PREQ7,Q5Q7POS,q8text,q8,q9text,q9,q10text,q10,q11text,q11,q12text,q13text,q12,q13,q14text,q14a,q14b,q14c,Q14TOTAL,q15text,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,EPWORTH,VAR00013,q17text,q16,Q16HRS,Q16Q5DIFHRS,Q16Q6DIFHRS,q17,q18a,q18b,q18c,q18d,q18e,q18f,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q19h,q20a,q20b,q20c,q20d,q20e,q20f,q20g,q20h,q20i,q20j,q20k,q20l,q20m,q20n,q21,q22,q23a,q23b,q23c,q23d,q23e,q23f,q23g,q23h,q23i,q24,q25,q26,q27,q28a,q28b,q28c,q28d,q28e,q28f,q29,q30a,q30b,q30c,q30d,q30e,q31text,q32text,q31,q32,q33a,q33e,q33b,q33c,q33d,q34,q35a,q35b,q35c,q35d,q35e,q35f,q35g,q35h,q35i,q35j,q35k,q35l,q35m,q35n,q36,d1,d2,d301,d302,d303,d304,d305,d306,d307,d308,d309,d4,complete,qs1a,qs1b,q7dkrf,q21oc01,q21oc02,q21oc03,q21oc04,q21oc05,q21oc06,q21oc07,q21oc08,q21oc09,q21oc10,d3oc01,d3oc02,d3oc03,d3oc04,d3oc05,d5,d5aa,d5ab,d6,makechld,whathap2,Q5GROUPED,Q6GROUPED,Q5Q7DIF,Q6Q7DIF,filter_$,WEIGHT
PHONE,3,40,3,,3,,NY,2,23,,3,,1300.00,900.00,,9.000,,23,2200.00,,4,1400.00,,800.00,,8.000,,-1.000,, ,6,0,360.00,6.000,, ,8,0,480.00,8.000,,120.00,2.000,3, ,,, ,,,2200.00,,,,1000.00,, , ,1, ,, ,1, ,, , ,2,3, ,1,1,1,3, ,0,1,0,0,0,0,1,1,3.00,, ,3,6.50,-.500,1.500,1,,,,,,,1,1,2,2,2,2,2,1,4,3,3,1,4,2,4,4,1,2,1,4,,,2,1,3,3,4,2,4,2,2,4,4,,,3,,4,2,4,4,3,2,,,,,,, , ,4,4,2,3,4,2,2,15,2,2,2,2,1,2,2,2,2,1,2,1,,,1,2,2,3,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,2,2,,1,OK,5.00,7.00,,,1,.82460000
PHONE,4,23,1,2,1,2,TX,2,11,,4,,1400.00,500.00,,5.000,,25,.00,,18,1100.00,,1300.00,1300.0,13.000,13.000,8.000,,01,5,0,300.00,5.000,,01,10,0,600.00,10.000,,300.00,5.000,4,02,7,0, ,700,1900,1900.00,.00,.00,,700.00,700.00, ,01,2,01,4,01,1,01,,01,01,1,2,01,2,1,0,3,01,2,3,2,0,3,0,0,2,12.00,,01,4,7.50,-2.500,2.500,2,3,3,3,3,3,2,1,2,1,1,2,2,2,1,3,1,4,1,4,4,1,1,1,1,1,3,1,3,5,1,2,3,1,1,3,1,1,1,4,2,1,1,1,,,,,,,,,,,,,01,01,4,2,4,2,1,3,4,30,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4,4,1,8,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,2,2,,1,OK,4.00,9.00,,,1,2.23940000
PHONE,5,52,1,,1,,MD,1,5,,14,,1000.00,750.00,,7.500,,9,1850.00,,18,1100.00,,750.00,,7.500,,.000,, ,6,0,360.00,6.000,, ,7,0,420.00,7.000,,60.00,1.000,3,02,,, ,9999,9999,1750.00,9999.00,9999.00,1.00,550.00,, , ,1, ,, ,1, ,, , ,2,2, ,4,1,0,5, ,1,1,0,0,0,0,0,1,3.00,, ,3,6.50,-.500,.500,1,,,,,,,2,1,2,2,2,1,2,1,1,1,1,1,3,1,2,2,1,2,4,1,1,1,,,1,1,1,2,2,1,4,2,2,,,1,,4,1,3,1,4,2,,,,,,, , ,6,6,4,1,4,4,4,15,1,2,2,2,2,2,1,2,2,1,2,2,2,,1,1,2,3,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,2,2,,1,OK,5.00,,,,1,.82440000
PHONE,6,42,1,,1,,WV,1,10,,21,,1175.00,700.00,,7.000,,15,2000.00,,2,1201.70,,798.30,,7.983,,.983,, ,6,30,390.00,6.500,, ,7,30,450.00,7.500,,60.00,1.000,3,02,8,0, ,800,2000,1875.00,125.00,1.25,,675.00,800.00, , ,2, ,3, ,2, ,3, , ,2,3, ,1,1,2,4, ,2,1,1,1,1,1,1,2,10.00,, ,4,7.50,-1.000,.000,1,,,,,,,1,2,2,2,2,2,2,1,4,3,2,2,3,2,2,2,1,3,2,2,3,3,4,2,4,2,2,2,2,2,2,2,2,,,2,3,3,2,2,2,3,2,,,,,,, , ,3,3,3,2,4,2,3,10,1,2,2,2,2,2,2,2,2,2,2,2,2,,3,4,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,2,2,,1,OK,5.00,6.00,,,1,.82460000
PHONE,7,47,1,,1,,NY,2,2,,14,,1000.00,201.70,,2.017,,7,1800.00,,21,1175.00,,625.00,,6.250,,4.233,, ,7,0,420.00,7.000,, ,7,0,420.00,7.000,,.00,.000,1,02,5,30, ,530,1730,1201.70,528.30,5.28,,1.70,530.00, , ,1, ,, ,1, ,, , ,2,2, ,1,0,0,1, ,1,3,0,1,2,0,0,1,8.00,, ,6,9.50,-2.500,-2.500,2,2,,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,3,3,1,1,1,1,2,2,1,1,,,1,1,1,1,3,1,1,1,1,3,1,1,1,,,,,,,,,,,,, , ,1,1,1,4,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,5,1,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,1,2,2,1,OK,6.00,6.00,,,1,.82440000
PHONE,8,55,1,,1,,SC,1,2,,14,,1000.00,201.70,,2.017,,15,2000.00,,18,1100.00,,900.00,,9.000,,6.983,, ,6,0,360.00,6.000,, ,5,0,300.00,5.000,,-60.00,-1.000,0,02,4,45, ,445,1645,1201.70,443.30,4.43,,1.70,445.00, , ,3, ,4, ,3, ,5, , ,2,4, ,2,2,4,8, ,2,3,2,0,1,1,2,3,14.00,, ,3,6.50,-.500,-1.500,1,,,,,,,1,2,2,1,2,1,2,1,4,3,1,1,2,1,1,1,1,2,1,1,1,1,5,2,2,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,, , ,4,4,4,4,2,2,3,,,,,,,,,,,,,,,,4,5,2,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,2,2,,1,OK,5.00,4.00,,,1,.82440000
PHONE,10,21,1,,1,,GA,1,15,,18,,1100.00,900.00,,9.000,,23,2200.00,,1,1200.00,,1000.00,,10.000,,1.000,, ,8,0,480.00,8.000,, ,8,0,480.00,8.000,,.00,.000,1,02,,, ,9998,9998,2000.00,9998.00,9998.00,2.00,800.00,, , ,3, ,5, ,3, ,5, , ,4,4, ,0,0,0,0, ,0,1,1,0,0,0,0,0,2.00,, ,5,8.50,-.500,-.500,1,,,,,,,2,2,1,1,2,1,2,2,2,4,4,2,2,1,4,1,1,2,4,1,1,,,,4,4,1,1,1,1,1,1,2,2,3,1,1,,,,,,,,,,,,, , ,3,3,1,1,1,2,4,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,2,1,,,2,,,,,,,,,,,,,,,,2,,,,, ,7.00,,,,1,2.23940000
PHONE,11,61,1,,1,,IN,1,7,,18,,1100.00,700.00,,7.000,,13,1950.00,,1,1200.00,,750.00,,7.500,,.500,, ,6,30,390.00,6.500,, ,7,0,420.00,7.000,,30.00,.500,2,02,7,0,AM,700,1900,1800.00,100.00,1.00,,600.00,700.00, , ,2, ,2, ,2, ,2, , ,3,3, ,4,0,0,4, ,0,1,1,0,0,0,0,1,3.00,, ,3,6.50,.000,.500,1,,,,,,,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,2,1,1,1,,4,2,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,, , ,2,2,1,4,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,1,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,2,1,OK,5.00,,,,1,.82440000
PHONE,12,26,1,,1,,CA,1,7,,18,,1100.00,700.00,,7.000,,15,2000.00,,18,1100.00,,900.00,,9.000,,2.000,, ,6,0,360.00,6.000,, ,6,0,360.00,6.000,,.00,.000,1,02,7,30,AM,730,1930,1800.00,130.00,1.30,,600.00,730.00, , ,3, ,2, ,3, ,4, , ,3,3, ,2,97,2,4, ,1,3,1,0,2,0,1,2,10.00,, ,3,6.50,-.500,-.500,1,,,,,,,2,2,1,2,2,1,2,1,1,4,3,1,4,4,1,1,1,3,4,1,1,,,,4,4,1,1,3,1,4,1,4,3,2,1,4,4,1,2,3,1,1,,,,,,, , ,5,4,2,2,2,2,2,,,,,,,,,,,,,,,,3,2,1,8,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,, ,5.00,,,,1,2.23940000
PHONE,13,33,3,,3,,TX,2,15,,4,,1400.00,600.00,,6.000,,24,2300.00,,4,1400.00,,900.00,,9.000,,3.000,, ,5,0,300.00,5.000,, ,5,0,300.00,5.000,,.00,.000,1, ,,, ,,,2000.00,,,,800.00,, , ,4, ,3, ,3, ,3, , ,1,2, ,0,0,0,0, ,2,2,0,0,1,0,1,2,8.00,, ,3,6.50,-1.500,-1.500,1,,,,,,,1,1,1,1,2,2,2,1,4,3,4,2,3,4,3,2,1,2,2,2,,,2,1,4,4,4,2,4,4,2,2,4,3,2,1,,4,2,4,2,2,2,,,,,,, , ,7,7,4,2,4,4,4,45,1,2,1,2,2,2,2,2,2,2,2,2,,,1,5,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,, ,4.00,,,,1,.82460000
PHONE,14,41,1,,1,,IA,1,7,,15,,1025.00,775.00,,7.750,,17,2050.00,,1,1200.00,,850.00,,8.500,,.750,, ,7,0,420.00,7.000,, ,8,0,480.00,8.000,,60.00,1.000,3,02,7,15,AM,715,1915,1800.00,115.00,1.15,,600.00,715.00, , ,3, ,2, ,1, ,, , ,3,4, ,1,0,0,1, ,2,1,0,2,3,0,3,3,14.00,, ,5,8.50,-1.500,-.500,1,,,,,,,2,2,2,2,2,2,2,1,3,1,1,1,3,1,1,1,1,3,1,1,1,,6,2,1,1,1,1,1,1,1,1,1,,,4,3,3,1,2,1,1,1,,,,,,, , ,2,3,1,4,4,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,5,1,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,2,2,,, ,6.00,,,,1,.82460000
PHONE,15,24,1,2,1,2,ID,1,3,,12,,950.00,750.00,,7.500,,11,1900.00,,15,1025.00,,875.00,,8.750,,1.250,,01,7,0,420.00,7.000,,01,8,0,480.00,8.000,,60.00,1.000,3,02,5,30,AM,530,1730,1700.00,30.00,.30,,500.00,530.00, ,01,1,01,,01,1,01,,01,01,3,3,01,1,1,0,2,01,1,1,1,0,1,0,1,2,7.00,,01,4,7.50,-.500,.500,1,,,,,,,1,2,2,2,2,2,2,1,4,1,2,2,2,1,3,3,1,3,1,2,2,2,7,1,2,2,1,3,2,1,1,1,4,,,1,2,,,,,,,,,,,,,01,01,2,4,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,1,,,,,,,,,1,1,,,,7,,,,,,,,,,,,,,,2,,,,, ,6.00,,,,1,2.23940000
PHONE,16,53,1,,1,,NM,1,13,,18,,1100.00,850.00,,8.500,,13,1950.00,,1,1200.00,,750.00,,7.500,,-1.000,, ,7,0,420.00,7.000,, ,7,0,420.00,7.000,,.00,.000,1,02,8,30,AM,830,2030,1950.00,80.00,.80,,750.00,830.00, , ,1, ,, ,1, ,, , ,4,4, ,2,0,2,4, ,1,0,0,0,3,0,0,1,5.00,, ,2,5.50,1.500,1.500,1,,,,,,,1,2,2,1,2,1,2,2,3,3,3,1,1,1,2,1,1,2,3,2,2,,4,2,3,3,1,1,1,1,3,1,1,,,3,2,,,,,,,,,,,,, , ,3,4,1,2,3,2,1,15,1,2,2,2,2,2,2,2,2,2,2,2,2,,3,3,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,, ,6.00,,,,1,.82440000
PHONE,17,52,1,,1,,CA,2,5,,14,,1000.00,750.00,,7.500,,11,1900.00,,14,1000.00,,900.00,,9.000,,1.500,, ,6,30,390.00,6.500,, ,7,0,420.00,7.000,,30.00,.500,2,02,6,30,AM,630,1830,1750.00,80.00,.80,,550.00,630.00, , ,1, ,, ,1, ,, , ,2,2, ,2,1,0,3, ,0,1,0,0,1,0,1,1,4.00,, ,4,7.50,-1.000,-.500,2,2,,2,3,2,3,1,1,1,1,2,2,1,1,3,3,3,1,2,1,2,1,1,3,1,2,3,,4,1,3,3,2,1,2,1,1,2,4,3,2,1,,2,1,2,2,1,1,,,,,,, , ,3,4,2,3,2,2,3,,,,,,,,,,,,,,,,3,1,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,1,2,2,1,OK,5.00,6.00,,,1,.82440000
PHONE,18,46,1,,1,,CA,2,10,,2,,1201.70,673.30,,6.733,,18,2075.00,,2,1201.70,,873.30,,8.733,,2.000,, ,5,0,300.00,5.000,, ,6,0,360.00,6.000,,60.00,1.000,3,02,9,45,AM,945,2145,1875.00,270.00,2.70,,675.00,945.00, , ,2, ,3, ,2, ,3, , ,2,2, ,0,1,6,7, ,0,1,1,0,1,0,1,2,6.00,, ,4,7.50,-2.500,-1.500,1,,,,,,,2,1,2,1,2,2,2,2,4,3,1,1,3,4,2,1,1,2,1,1,3,,2,2,1,1,1,1,1,1,1,1,3,,,1,,4,2,1,1,1,1,,,,,,, , ,3,4,1,4,3,1,4,10,2,2,2,2,2,2,2,2,2,2,2,2,2,,96,2,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,1,2,1,1,OK,4.00,,,,1,.82440000
PHONE,20,50,3,,3,,FL,1,23,,4,,1400.00,800.00,,8.000,,23,2200.00,,4,1400.00,,800.00,,8.000,,.000,, ,1,30,90.00,1.500,, ,1,30,90.00,1.500,,.00,.000,1, ,,, ,,,2200.00,,,,1000.00,, , ,1, ,, ,1, ,, , ,1,1, ,0,0,0,0, ,0,0,0,0,0,0,0,0,.00,, ,1,3.50,-2.000,-2.000,1,,,,,,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,, , ,7,7,4,99,4,4,1,999,2,2,2,2,2,2,2,2,2,1,2,2,,,1,2,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,, ,1.00,1.00,,,1,.82440000
PHONE,21,49,1,,1,,TX,2,5,,16,,1050.00,700.00,,7.000,,11,1900.00,,16,1050.00,,850.00,,8.500,,1.500,, ,7,30,450.00,7.500,, ,8,30,510.00,8.500,,60.00,1.000,3,02,,, ,9998,9998,1750.00,9998.00,9998.00,2.00,550.00,, , ,1, ,, ,2, ,2, , ,3,3, ,3,2,1,6, ,2,1,0,0,0,0,0,1,4.00,, ,5,8.50,-1.000,.000,1,,,,,,,1,1,1,2,2,1,2,1,4,2,2,4,4,2,2,2,1,4,2,2,4,,1,2,2,2,2,2,2,2,1,2,1,3,2,1,,1,1,1,1,1,1,2,1,1,1,1,3, , ,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,2,1,2,1,,,,,,,,,2,1,,,2,,,,,,,,,,,,,,,,2,,,,, ,6.00,7.00,,,1,.82440000
PHONE,22,62,1,,1,,VA,1,2,,18,,1100.00,101.70,,1.017,,24,2300.00,,2,1201.70,,1098.30,,10.983,,9.966,, ,4,30,270.00,4.500,, ,8,0,480.00,8.000,,210.00,3.500,4,02,6,0,AM,600,1800,1201.70,598.30,5.98,,1.70,600.00, , ,2, ,1, ,2, ,4, , ,2,2, ,1,0,0,1, ,2,1,0,0,3,0,1,2,9.00,, ,3,6.50,-2.000,1.500,2,2,,96,2,2,96,1,1,2,2,2,2,1,1,4,1,2,1,3,1,3,1,3,4,1,1,1,,2,1,2,3,1,1,4,1,1,4,1,,,2,,4,1,1,4,1,3,,,,,,, , ,2,2,4,1,4,2,4,30,2,2,2,2,2,2,2,2,1,1,2,2,1,,4,1,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,, ,3.00,,,,1,.82440000
PHONE,23,55,3,,3,,TX,2,7,,19,,1125.00,675.00,,6.750,,15,2000.00,,18,1100.00,,900.00,,9.000,,2.250,, ,7,0,420.00,7.000,, ,8,0,480.00,8.000,,60.00,1.000,3, ,,, ,,,1800.00,,,,600.00,, , ,2, ,2, ,2, ,2, , ,3,3, ,2,1,2,5, ,1,2,0,0,2,0,2,3,10.00,, ,3,6.50,.500,1.500,1,,,,,,,1,2,2,2,2,2,2,1,4,3,1,1,1,1,1,1,1,3,1,1,,,2,1,3,1,1,1,1,1,1,1,1,,,2,3,2,1,1,1,1,1,,,,,,, , ,1,2,1,4,3,1,2,15,2,2,2,2,2,2,2,2,2,2,2,2,,,3,1,1,8,,,,,,,,,2,1,,,,,,,,,,,,,,8,,,,,2,,,,, ,6.00,,,,1,.82440000
PHONE,24,49,1,,1,,MN,1,2,,18,,1100.00,101.70,,1.017,,2,1201.70,,18,1100.00,,101.70,,1.017,,.000,, ,5,30,330.00,5.500,, ,5,30,330.00,5.500,,.00,.000,1,02,7,30,AM,730,1930,1201.70,728.30,7.28,,1.70,730.00, , ,1, ,, ,2, ,2, , ,4,3, ,4,2,0,6, ,1,1,0,0,1,0,0,1,4.00,, ,2,5.50,.000,.000,1,,,,,,,1,2,2,1,2,2,2,2,4,2,1,1,2,1,1,1,1,2,1,1,2,,3,2,2,1,1,1,2,1,1,1,1,,,1,1,,,,,,,,,,,,, , ,1,1,1,1,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,1,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,, ,4.00,4.00,,,1,.82440000
PHONE,25,58,1,,1,,NV,1,7,,12,,950.00,850.00,,8.500,,11,1900.00,,12,950.00,,950.00,,9.500,,1.000,, ,8,30,510.00,8.500,, ,9,0,540.00,9.000,,30.00,.500,2,02,9,0,AM,900,2100,1800.00,300.00,3.00,,600.00,900.00, , ,1, ,, ,1, ,, , ,3,3, ,0,1,1,2, ,0,0,0,0,0,0,0,0,.00,, ,5,8.50,.000,.500,1,,,,,,,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,,,,2,1,1,1,1,1,1,1,1,3,1,1,3,2,1,2,1,1,2,,,,,,, , ,2,2,1,1,2,1,2,,,,,,,,,,,,,,,,1,1,2,1,,,,,,,,,99,1,,,,,,,,,,,,,,,,,,,2,,,,, ,7.00,,,,1,.82440000
PHONE,26,51,1,,1,,PA,1,2,,10,,900.00,301.70,,3.017,,7,1800.00,,12,950.00,,850.00,,8.500,,5.483,, ,7,0,420.00,7.000,, ,8,0,480.00,8.000,,60.00,1.000,3,02,5,30,AM,530,1730,1201.70,528.30,5.28,,1.70,530.00, , ,1, ,, ,1, ,, , ,4,3, ,3,0,0,3, ,1,1,1,1,1,0,1,1,7.00,, ,5,8.50,-1.500,-.500,1,,,,,,,1,1,1,1,2,2,98,1,4,2,2,1,1,1,4,2,1,4,1,1,1,,6,2,2,1,1,2,1,1,2,2,2,1,1,1,,1,2,1,1,2,1,,,,,,, , ,3,3,2,2,2,2,1,,,,,,,,,,,,,,,,1,1,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,, ,6.00,,,,1,.82440000
PHONE,27,47,1,,1,,GA,1,15,,1,,1200.00,800.00,,8.000,,19,2100.00,,4,1400.00,,700.00,,7.000,,-1.000,, ,7,0,420.00,7.000,, ,9,0,540.00,9.000,,120.00,2.000,3,02,8,30,AM,830,2030,2000.00,30.00,.30,,800.00,830.00, , ,3, ,5, ,3, ,3, , ,2,3, ,2,2,2,6, ,99,,,,,,,,,, ,5,8.50,-1.500,.500,2,1,,2,2,2,2,1,1,1,1,2,2,2,2,4,4,4,1,4,1,4,1,1,1,1,4,2,,1,2,4,4,1,1,1,2,2,1,4,3,4,4,,4,1,4,1,2,2,,,,,,, , ,5,4,3,99,3,3,3,20,1,1,1,2,1,2,1,2,2,2,2,2,1,,3,2,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,, ,6.00,,,,1,.82440000
PHONE,28,41,1,,1,,OH,2,7,,14,,1000.00,800.00,,8.000,,7,1800.00,,18,1100.00,,700.00,,7.000,,-1.000,, ,8,0,480.00,8.000,, ,7,0,420.00,7.000,,-60.00,-1.000,0,02,,, ,9998,9998,1800.00,9998.00,9998.00,2.00,600.00,, , ,1, ,, ,1, ,, , ,3,3, ,0,1,0,1, ,0,0,0,0,0,0,0,1,1.00,, ,5,8.50,-.500,-1.500,1,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,2,1,2,1,1,3,,,,2,3,3,3,3,1,2,2,2,,,1,3,3,1,3,1,1,1,,,,,,, , ,4,4,2,2,3,2,3,30,2,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,2,1,,,,,,,,,2,1,,,2,,,,,,,,,,,,,,,,1,1,2,2,1,OK,7.00,,,,1,.82460000
PHONE,29,40,1,,1,,IL,2,5,,18,,1100.00,650.00,,6.500,,11,1900.00,,2,1201.70,,698.30,,6.983,,.483,, ,6,30,390.00,6.500,, ,7,0,420.00,7.000,,30.00,.500,2,02,7,15,AM,715,1915,1750.00,165.00,1.65,,550.00,715.00, , ,1, ,, ,1, ,, , ,3,3, ,1,0,0,1, ,0,1,0,0,0,0,0,2,3.00,, ,4,7.50,-1.000,-.500,1,,,,,,,1,2,2,2,2,2,2,2,4,1,2,1,1,1,1,1,1,2,1,1,1,,1,1,1,2,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,, , ,5,5,2,99,2,4,2,60,1,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,, ,5.00,,,,1,.82460000
PHONE,30,48,1,,1,,TX,1,5,,18,,1100.00,650.00,,6.500,,13,1950.00,,18,1100.00,,850.00,,8.500,,2.000,, ,5,0,300.00,5.000,, ,7,0,420.00,7.000,,120.00,2.000,3,02,,, ,9999,9999,1750.00,9999.00,9999.00,1.00,550.00,, , ,3, ,2, ,1, ,, , ,3,3, ,3,1,1,5, ,2,2,0,0,0,0,1,2,7.00,, ,2,5.50,-.500,1.500,1,,,,,,,1,1,2,2,2,2,2,2,2,1,4,1,2,1,2,4,2,2,1,2,2,,,,2,4,4,4,1,1,1,1,2,,,2,,2,4,2,2,1,2,,,,,,, , ,1,2,2,4,4,2,1,90,1,2,2,2,1,2,2,1,2,1,2,2,1,,4,1,2,1,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,1,1,2,2,1,OK,4.00,,,,1,.82440000
PHONE,31,41,1,,1,,OR,1,3,,12,,950.00,750.00,,7.500,,5,1750.00,,16,1050.00,,700.00,,7.000,,-.500,, ,7,0,420.00,7.000,, ,8,0,480.00,8.000,,60.00,1.000,3,02,6,0,AM,600,1800,1700.00,100.00,1.00,,500.00,600.00, , ,4, ,3, ,3, ,3, , ,3,3, ,2,0,0,2, ,0,1,0,0,0,0,1,3,5.00,, ,4,7.50,-.500,.500,1,,,,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,2,,,,2,3,3,1,3,2,2,1,1,,,1,1,,,,,,,,,,,,, , ,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,1,1,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,, ,6.00,,,,1,.82460000
PHONE,32,38,1,,1,,MT,2,10,,14,,1000.00,875.00,,8.750,,13,1950.00,,14,1000.00,,950.00,,9.500,,.750,, ,8,30,510.00,8.500,, ,9,0,540.00,9.000,,30.00,.500,2,02,7,45,AM,745,1945,1875.00,70.00,.70,,675.00,745.00, , ,1, ,, ,2, ,4, , ,3,3, ,1,0,0,1, ,0,0,0,0,0,0,0,2,2.00,, ,7,10.50,-2.000,-1.500,2,1,,1,1,1,1,2,2,2,1,2,2,2,1,4,1,1,1,2,1,1,1,1,3,1,1,1,,2,2,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,, , ,4,4,2,2,2,1,3,,,,,,,,,,,,,,,,3,1,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,2,2,,, ,7.00,,,,1,.82460000
PHONE,33,54,1,,1,,WA,1,11,,18,,1100.00,800.00,,8.000,,15,2000.00,,18,1100.00,,900.00,,9.000,,1.000,, ,7,30,450.00,7.500,, ,7,30,450.00,7.500,,.00,.000,1,02,7,45,AM,745,1945,1900.00,45.00,.45,,700.00,745.00, , ,2, ,3, ,2, ,3, , ,3,3, ,2,0,0,2, ,0,0,0,0,1,0,1,1,3.00,, ,4,7.50,.000,.000,1,,,,,,,2,2,2,1,2,2,2,1,2,3,1,1,2,2,2,1,1,1,1,2,2,,,,1,1,1,1,1,1,3,1,1,,,2,2,,,,,,,,,,,,, , ,2,2,2,4,3,2,2,20,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,1,,,,,,,,,99,1,,,,,,,,,,,,,,,,,,,1,2,2,,, ,6.00,6.00,,,1,.82440000
PHONE,34,49,1,,1,,FL,2,8,,11,,925.00,900.00,,9.000,,18,2075.00,,14,1000.00,,1075.00,,10.750,,1.750,, ,4,30,270.00,4.500,, ,4,30,270.00,4.500,,.00,.000,1,02,7,20,AM,720,1920,1825.00,95.00,.95,,625.00,720.00, , ,1, ,, ,1, ,, , ,2,2, ,1,0,0,1, ,3,3,1,1,2,1,1,1,13.00,, ,1,3.50,1.000,1.000,2,1,,1,1,1,3,1,1,2,2,2,2,2,2,4,1,3,1,4,4,3,1,1,1,1,1,1,,2,1,1,3,1,1,1,1,1,1,1,,,1,,4,1,4,2,1,1,,,,,,, , ,6,6,4,1,4,4,4,30,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,2,1,OK,3.00,3.00,,,1,.82440000
