VERSION,caseid,qs1,qs2ov1801,qs2ov1802,qs201,qs202,qs3,qs4,q1,q1FIX,q2,q2FIX,Q2VALUE,Q1Q2DIF,q1q2diffFIX,Q1Q2DIFHRS,q1q2diffhrsFIX,q3,Q3VALUE,q3FIX,q4,Q4VALUE,q4FIX,Q3Q4DIF,q3q4diffFIX,Q3Q4DIFHRS,q3q4diffhrsFIX,Q3Q4Q1Q2DIFHRS,Q3Q4Q1Q2POS,q5text,q5h,q5m,Q5,Q5HRS,q5dkrf,q6text,q6h,q6m,Q6,Q6HRS,q6dkrf,Q6Q5DIF,Q6Q5DIFHRS,Q6Q5POS,q7text,q7hour,q7min,q7mer,q7,Q7REV,Q1VALUE,Q1Q7DIF,Q1Q7DIFHRS,VAR00012,Q1TIME,PREQ7,Q5Q7POS,q8text,q8,q9text,q9,q10text,q10,q11text,q11,q12text,q13text,q12,q13,q14text,q14a,q14b,q14c,Q14TOTAL,q15text,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,EPWORTH,VAR00013,q17text,q16,Q16HRS,Q16Q5DIFHRS,Q16Q6DIFHRS,q17,q18a,q18b,q18c,q18d,q18e,q18f,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q19h,q20a,q20b,q20c,q20d,q20e,q20f,q20g,q20h,q20i,q20j,q20k,q20l,q20m,q20n,q21,q22,q23a,q23b,q23c,q23d,q23e,q23f,q23g,q23h,q23i,q24,q25,q26,q27,q28a,q28b,q28c,q28d,q28e,q28f,q29,q30a,q30b,q30c,q30d,q30e,q31text,q32text,q31,q32,q33a,q33e,q33b,q33c,q33d,q34,q35a,q35b,q35c,q35d,q35e,q35f,q35g,q35h,q35i,q35j,q35k,q35l,q35m,q35n,q36,d1,d2,d301,d302,d303,d304,d305,d306,d307,d308,d309,d4,complete,qs1a,qs1b,q7dkrf,q21oc01,q21oc02,q21oc03,q21oc04,q21oc05,q21oc06,q21oc07,q21oc08,q21oc09,q21oc10,d3oc01,d3oc02,d3oc03,d3oc04,d3oc05,d5,d5aa,d5ab,d6,makechld,whathap2,Q5GROUPED,Q6GROUPED,Q5Q7DIF,Q6Q7DIF,filter_$,WEIGHT
PHONE,547,55,3,,3,,TX,1,9,,20,,1150.00,700.00,,7.000,,11,1900.00,,18,1100.00,,800.00,,8.000,,1.000,, ,,0,,99.000,1, ,,0,,99.000,1,,99.000,99, ,,, ,,,1850.00,,,,650.00,, , ,1, ,, ,1, ,, , ,2,2, ,1,0,0,1, ,0,0,0,0,0,0,0,99,,, ,1,3.50,99.000,99.000,1,,,,,,,1,2,2,1,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,,,4,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,, , ,6,6,4,99,4,3,3,999,1,2,2,2,2,2,2,2,2,2,2,2,,,1,4,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,, ,,,,,1,.82440000
PHONE,548,40,1,,1,,TX,2,2,,10,,900.00,301.70,,3.017,,3,1700.00,,14,1000.00,,700.00,,7.000,,3.983,, ,5,0,300.00,5.000,, ,5,0,300.00,5.000,,.00,.000,1,02,5,0,AM,500,1700,1201.70,498.30,4.98,,1.70,500.00, , ,1, ,, ,1, ,, , ,2,2, ,1,0,0,1, ,2,2,2,1,1,1,1,2,12.00,, ,3,6.50,-1.500,-1.500,2,2,,1,1,1,1,1,2,1,1,2,1,2,1,4,2,1,1,2,1,1,1,1,2,1,1,2,,99,99,2,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,, , ,6,5,4,99,2,3,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,8,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,2,1,OK,4.00,,,,1,.82460000
PHONE,549,34,3,,3,,TX,2,11,,1,,1200.00,700.00,,7.000,,11,1900.00,,1,1200.00,,700.00,,7.000,,.000,, ,6,0,360.00,6.000,, ,6,0,360.00,6.000,,.00,.000,1, ,,, ,,,1900.00,,,,700.00,, , ,2, ,2, ,2, ,1, , ,2,2, ,1,1,0,2, ,1,1,0,0,0,0,0,1,3.00,, ,5,8.50,-2.500,-2.500,2,,,1,2,2,1,1,2,2,2,2,2,2,1,4,3,3,4,4,4,3,1,1,3,1,2,,,2,2,3,3,3,1,1,3,1,1,1,,,4,4,4,1,2,1,1,1,1,1,1,1,1,1, , ,1,1,2,3,3,1,3,5,2,2,2,2,2,2,2,2,2,2,2,2,,,3,1,2,1,5,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,2,2,,, ,5.00,5.00,,,1,.82460000
PHONE,550,45,1,,1,,TX,2,5,,16,,1050.00,700.00,,7.000,,15,2000.00,,18,1100.00,,900.00,,9.000,,2.000,, ,6,0,360.00,6.000,, ,7,0,420.00,7.000,,60.00,1.000,3,02,6,0,PM,1800,600,1750.00,-1150.00,-11.50,,550.00,600.00, , ,1, ,, ,1, ,, , ,3,3, ,3,2,0,5, ,1,1,0,0,0,0,0,1,3.00,, ,3,6.50,-.500,.500,1,,,,,,,1,2,2,2,2,2,2,2,4,2,2,1,3,2,2,2,1,2,1,1,3,,4,1,2,2,1,1,1,1,1,1,1,,,1,2,,,,,,,,,,,,, , ,5,5,4,1,4,3,3,15,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,2,1,OK,5.00,6.00,,,1,.82460000
PHONE,551,49,1,,1,,IA,2,5,,20,,1150.00,600.00,,6.000,,19,2100.00,,20,1150.00,,950.00,,9.500,,3.500,, ,6,0,360.00,6.000,, ,7,0,420.00,7.000,,60.00,1.000,3,02,8,30,AM,830,2030,1750.00,280.00,2.80,,550.00,830.00, , ,2, ,2, ,2, ,2, , ,2,2, ,1,1,0,2, ,3,2,0,0,0,0,0,1,6.00,, ,3,6.50,-.500,.500,1,,,,,,,1,2,1,1,2,1,2,2,4,3,3,2,2,2,1,1,1,2,2,1,2,,1,1,3,2,1,1,1,1,1,1,1,3,2,1,2,,,,,,,,,,,,, , ,3,3,2,99,3,1,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,6,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,OK,5.00,6.00,,,1,.82440000
PHONE,552,20,2,,2,,MI,1,99,,99,,9999.00,9999.00,,9999.000,,99,9999.00,,99,9999.00,,9999.00,,9999.000,,9999.000,,01,6,0,360.00,6.000,,01,6,0,360.00,6.000,,.00,.000,1,01,,, ,9998,9998,9999.00,9999.00,9999.00,2.00,9999.00,, ,01,1,01,,01,1,01,,01,01,2,2,01,0,0,0,0,01,0,0,0,0,0,0,0,0,.00,,01,3,6.50,-.500,-.500,1,,,,,,,2,2,2,2,2,1,2,2,1,2,3,1,1,1,1,1,1,1,2,1,,1,,,2,3,1,1,1,1,1,1,4,,,1,1,,,,,,,,,,,,,01,01,96,96,3,99,4,3,3,998,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,,2,1,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,, ,5.00,,,,1,2.23940000
PHONE,553,33,1,,1,,ID,2,9,,99,,9999.00,9999.00,,9999.000,,11,1900.00,,14,1000.00,,900.00,,9.000,,9999.000,, ,7,0,420.00,7.000,, ,7,0,420.00,7.000,,.00,.000,1,02,2,0,PM,1400,200,1850.00,-1650.00,-16.50,,650.00,200.00, , ,3, ,3, ,1, ,, , ,3,4, ,1,1,1,3, ,0,1,0,0,1,0,1,2,5.00,, ,5,8.50,-1.500,-1.500,1,,,,,,,2,2,2,2,2,2,2,1,4,2,1,1,2,1,1,1,1,2,1,1,1,,2,2,2,1,1,1,1,1,1,1,1,,,1,2,,,,,,,,,,,,, , ,3,3,3,2,2,1,4,,,,,,,,,,,,,,,,3,1,2,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,2,2,,, ,6.00,6.00,,,1,.82460000
PHONE,554,14,,,2,,IA,2,5,,18,,1100.00,650.00,,6.500,,15,2000.00,,18,1100.00,,900.00,,9.000,,2.500,,01,7,0,420.00,7.000,,01,6,0,360.00,6.000,,-60.00,-1.000,0,01,6,40,AM,640,1840,1750.00,90.00,.90,,550.00,640.00, ,01,2,01,2,01,2,01,2,01,01,3,3,01,0,0,0,0,01,1,1,2,2,2,0,0,1,9.00,,01,5,8.50,-1.500,-2.500,2,,2,1,1,2,,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,4,1,3,,2,4,2,1,2,1,1,1,1,2,1,4,,,4,2,,,,,,,,,,,,,01,01,4,4,2,99,2,2,4,,,,,,,,,,,,,,,,96,,2,1,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,, ,6.00,5.00,,,1,1.36210000
PHONE,555,15,,,2,,UT,2,5,,12,,950.00,800.00,,8.000,,15,2000.00,,14,1000.00,,1000.00,,10.000,,2.000,,01,8,30,510.00,8.500,,01,8,30,510.00,8.500,,.00,.000,1,01,6,45,AM,645,1845,1750.00,95.00,.95,,550.00,645.00, ,01,1,01,,01,1,01,,01,01,4,4,01,0,0,0,0,01,0,0,0,0,0,0,0,2,2.00,,01,5,8.50,.000,.000,1,,,,,,,1,1,1,1,2,2,2,1,4,2,4,2,4,4,2,1,1,2,2,4,,4,5,1,2,4,2,1,2,2,2,1,2,1,1,1,,4,1,4,4,4,2,,,,,,,01,01,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,96,,2,1,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,, ,7.00,7.00,,,1,1.36210000
PHONE,556,49,1,,1,,OK,2,9,,14,,1000.00,850.00,,8.500,,24,2300.00,,18,1100.00,,1200.00,,12.000,,3.500,, ,8,0,480.00,8.000,, ,11,0,660.00,11.000,,180.00,3.000,4,02,7,0,AM,700,1900,1850.00,50.00,.50,,650.00,700.00, , ,1, ,, ,1, ,, , ,4,4, ,3,0,0,3, ,0,0,0,0,1,0,0,2,3.00,, ,5,8.50,-.500,2.500,1,,,,,,,1,2,1,1,2,2,2,2,3,2,2,1,1,3,1,1,1,1,1,1,1,,2,2,1,1,2,1,1,1,1,1,1,3,1,1,4,4,1,2,1,1,1,,,,,,, , ,1,1,1,99,2,2,1,,,,,,,,,,,,,,,,1,1,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,0,, ,7.00,10.00,,,1,.82440000
